date,symbol,open,high,low,close
2013-10-01,BTC,124.30466,124.75166,122.56349,123.65499
2013-10-02,BTC,123.65499,125.7585,123.63383,125.455
2013-10-03,BTC,125.455,125.66566,83.32833,108.58483
2013-10-04,BTC,108.58483,118.675,107.05816,118.67466
2013-10-05,BTC,118.67466,121.93633,118.00566,121.33866
2013-10-06,BTC,121.33866,121.85216,120.5545,120.65533
2013-10-07,BTC,120.65533,121.99166,120.43199,121.795
2013-10-08,BTC,121.795,123.64016,121.35066,123.033
2013-10-09,BTC,123.033,124.7835,122.59266,124.049
2013-10-10,BTC,124.049,128.01683,123.81966,125.96116
2013-10-11,BTC,125.96116,126.43666,124.11383,125.27966
2013-10-12,BTC,125.27966,126.0365,123.12966,125.9275
2013-10-13,BTC,125.9275,126.8965,125.2765,126.38333
2013-10-14,BTC,126.38333,135.24199,126.255,135.24199
2013-10-15,BTC,135.24199,135.69216,130.39275,133.20333
2013-10-16,BTC,133.20333,143.60483,132.94933,142.76333
2013-10-17,BTC,142.76333,145.601,136.01466,137.92333
2013-10-18,BTC,137.92333,144.311,137.53966,142.95166
2013-10-19,BTC,142.95166,152.6685,142.47949,152.55183
2013-10-20,BTC,152.55183,167.07999,152.5135,160.33883
2013-10-21,BTC,160.33883,164.3315,159.89666,164.31499
2013-10-22,BTC,164.31499,177.71166,163.87149,177.63333
2013-10-23,BTC,177.63333,188.82383,177.11399,188.29716
2013-10-24,BTC,188.29716,202.34333,185.81683,200.70166
2013-10-25,BTC,200.70166,201.33316,158.72216,180.355
2013-10-26,BTC,180.355,184.09033,162.56466,175.03166
2013-10-27,BTC,175.03166,180.3185,174.74483,177.6965
2013-10-28,BTC,177.6965,188.3985,174.9035,187.15983
2013-10-29,BTC,187.15983,192.83983,185.88116,192.75666
2013-10-30,BTC,192.75666,198.41366,191.62716,197.4
2013-10-31,BTC,197.4,198.79333,192.83366,196.02499
2013-11-01,BTC,196.02499,198.57,195.02916,198.04883
2013-11-02,BTC,198.04883,199.09783,195.49,198.93233
2013-11-03,BTC,198.93233,201.24116,198.71016,200.543
2013-11-04,BTC,200.543,211.17133,200.296,210.3075
2013-11-05,BTC,210.3075,227.02833,209.23333,225.02
2013-11-06,BTC,225.02,248.32116,221.84833,248.25333
2013-11-07,BTC,248.25333,262.67166,242.95166,262.32666
2013-11-08,BTC,262.32666,294.48749,260.45166,294.48699
2013-11-09,BTC,294.48699,343.67975,293.48749,331.10325
2013-11-10,BTC,331.10325,355.2275,277.25275,285.8875
2013-11-11,BTC,285.8875,323.27249,260.70325,304.97974
2013-11-12,BTC,304.97974,339.795,303.6505,338.137
2013-11-13,BTC,338.137,358.94999,336.30775,357.48
2013-11-14,BTC,357.48,409.51,350.20999,402.954
2013-11-15,BTC,402.954,415.93975,383.5775,409.10375
2013-11-16,BTC,409.10375,427.90425,386.565,420.21649
2013-11-17,BTC,420.21649,437.9695,415.1975,437.29725
2013-11-18,BTC,437.29725,512.16999,436.13324,510.6025
2013-11-19,BTC,510.6025,781.82624,491.585,693.65
2013-11-20,BTC,693.65,716.825,394.90624,531.54249
2013-11-21,BTC,531.54249,580.11375,428.9815,574.71599
2013-11-22,BTC,574.71599,705.49725,570.78025,681.33
2013-11-23,BTC,681.33,775.6525,651.89599,774.18
2013-11-24,BTC,774.18,823.41525,691.6925,746.19374
2013-11-25,BTC,746.19374,787.2475,707.75149,768.8475
2013-11-26,BTC,768.8475,793.71424,739.8375,789.36475
2013-11-27,BTC,789.36475,904.585,787.19,893.1815
2013-11-28,BTC,893.1815,965.2525,870.38525,934.355
2013-11-29,BTC,934.355,1084.9466,912.931,1068.363
2013-11-30,BTC,1068.363,1157.49894,1028.22683,1154.92593
2013-12-01,BTC,1154.92593,1156.02831,1099.2065,1099.51926
2013-12-02,BTC,1099.51926,1099.70754,783.68616,1019.78966
2013-12-03,BTC,1019.78966,1049.67916,929.95483,1028.845
2013-12-04,BTC,1028.845,1092.83331,1021.177,1071.2848
2013-12-05,BTC,1071.2848,1151.29749,1066.87277,1139.33083
2013-12-06,BTC,1139.33083,1144.36916,870.3838,1004.61633
2013-12-07,BTC,1004.61633,1038.55,656.87499,759.43041
2013-12-08,BTC,759.43041,826.32766,558.08333,689.81
2013-12-09,BTC,689.81,845.85092,682.71342,841.83966
2013-12-10,BTC,841.83966,948.68183,809.91748,916.77599
2013-12-11,BTC,916.77599,1004.93666,900.68016,967.42866
2013-12-12,BTC,967.42866,975.62383,832.22683,866.29003
2013-12-13,BTC,866.29003,919.30033,843.4055,911.23204
2013-12-14,BTC,911.23204,933.17016,859.44999,889.81946
2013-12-15,BTC,889.81946,897.30915,848.25583,848.9975
2013-12-16,BTC,848.9975,886.23583,819.43828,868.95316
2013-12-17,BTC,868.95316,876.21516,636.15056,653.80483
2013-12-18,BTC,653.80483,757.02366,647.62209,654.06266
2013-12-19,BTC,654.06266,654.06266,422.497,553.69166
2013-12-20,BTC,553.69166,710.3255,545.53966,693.05883
2013-12-21,BTC,693.05883,733.23666,598.06131,649.38965
2013-12-22,BTC,649.38965,651.8435,580.72816,595.95883
2013-12-23,BTC,595.95883,671.59166,594.36595,647.68316
2013-12-24,BTC,647.68316,685.3675,632.5431,671.58116
2013-12-25,BTC,671.58116,675.614,645.78333,659.84333
2013-12-26,BTC,659.84333,720.22498,651.53,702.00083
2013-12-27,BTC,702.00083,780.93666,698.07,758.01016
2013-12-28,BTC,758.01016,772.90666,723.98666,734.01166
2013-12-29,BTC,734.01166,753.83333,705.1025,717.92623
2013-12-30,BTC,717.92623,759.6362,713.751,752.82022
2013-12-31,BTC,752.82022,763.83,743.7,744.17249
2014-01-01,BTC,744.17249,772.959,733.19433,768.40783
2014-01-02,BTC,768.40783,774.26333,750.52516,769.09849
2014-01-03,BTC,769.09849,826.34166,768.15367,804.02719
2014-01-04,BTC,804.02719,839.85833,798.11833,813.31748
2014-01-05,BTC,813.31748,873.98,808.71666,871.11583
2014-01-06,BTC,871.11583,972.00354,861.25831,970.65083
2014-01-07,BTC,970.65083,1023.16666,914.76666,962.46447
2014-01-08,BTC,962.46447,970.22516,788.70166,855.75933
2014-01-09,BTC,855.75933,886.02916,822.32296,860.84166
2014-01-10,BTC,860.84166,880.64166,814.17054,847.5325
2014-01-11,BTC,847.5325,902.035,837.57458,892.26115
2014-01-12,BTC,892.26115,940.495,876.57666,916.69666
2014-01-13,BTC,916.69666,920.71733,857.73833,873.27168
2014-01-14,BTC,873.27168,873.27168,821.00333,863.69888
2014-01-15,BTC,863.69888,871.11385,839.125,853.25666
2014-01-16,BTC,853.25666,888.88519,853.25666,874.07416
2014-01-17,BTC,874.07416,879.62999,841.27916,842.19173
2014-01-18,BTC,842.19173,854.32827,810.22333,834.86666
2014-01-19,BTC,834.86666,850.56666,834.08333,838.42916
2014-01-20,BTC,838.42916,885.16166,834.77499,881.87583
2014-01-21,BTC,881.87583,882.45166,857.84584,873.28916
2014-01-22,BTC,873.28916,876.14065,861.77833,874.13266
2014-01-23,BTC,874.13266,874.13266,854.05916,864.56116
2014-01-24,BTC,864.56116,866.45964,834.99822,838.14997
2014-01-25,BTC,838.14997,838.26,810.64042,834.57416
2014-01-26,BTC,834.57416,876.24165,833.72638,858.12641
2014-01-27,BTC,858.12641,899.2283,851.74833,887.08337
2014-01-28,BTC,887.08337,887.37698,800.03833,830.53133
2014-01-29,BTC,830.53133,860.24269,798.18333,832.89496
2014-01-30,BTC,832.89496,846.92594,832.25583,832.87399
2014-01-31,BTC,832.87399,855.86653,816.05635,841.48914
2014-02-01,BTC,841.48914,852.3975,839.53166,847.36383
2014-02-02,BTC,847.36383,869.4796,843.35344,854.7225
2014-02-03,BTC,854.7225,882.43124,850.30816,856.03366
