date,symbol,open,high,low,close,daily change (%)
1999-11-01,GOLD,18.0,18.06,17.56,17.81,-1.0555555555555627
1999-11-02,GOLD,17.81,18.25,17.63,18.25,2.470522178551383
1999-11-03,GOLD,18.19,18.25,17.75,17.88,-1.7042330951072142
1999-11-04,GOLD,17.69,17.94,17.56,17.69,0.0
1999-11-05,GOLD,17.56,17.69,17.13,17.19,-2.1070615034168423
1999-11-08,GOLD,17.06,17.56,16.94,17.5,2.5791324736225163
1999-11-09,GOLD,17.56,18.19,17.25,18.0,2.505694760820053
1999-11-10,GOLD,18.13,19.06,18.06,19.0,4.798676227247662
1999-11-11,GOLD,18.88,18.88,17.88,17.94,-4.978813559322022
1999-11-12,GOLD,17.75,18.38,17.69,17.88,0.7323943661971775
1999-11-15,GOLD,17.88,18.31,17.81,18.19,1.733780760626411
1999-11-16,GOLD,18.44,18.63,17.81,17.88,-3.0368763557483853
1999-11-17,GOLD,17.88,18.13,17.63,17.63,-1.3982102908277405
1999-11-18,GOLD,17.5,18.06,17.5,17.75,1.4285714285714286
1999-11-19,GOLD,17.69,18.13,17.69,17.81,0.6783493499151918
1999-11-22,GOLD,17.81,18.13,17.5,17.5,-1.7405951712520984
1999-11-23,GOLD,17.88,18.88,17.81,18.88,5.592841163310962
1999-11-24,GOLD,19.06,19.5,18.75,19.25,0.9968520461699962
1999-11-26,GOLD,19.56,19.56,19.25,19.38,-0.9202453987730047
1999-11-29,GOLD,18.06,18.31,17.81,17.81,-1.3842746400885937
1999-11-30,GOLD,17.88,18.31,17.81,18.0,0.671140939597321
1999-12-01,GOLD,17.94,18.0,17.75,17.81,-0.7246376811594345
1999-12-02,GOLD,17.63,17.75,17.31,17.44,-1.0777084515031068
1999-12-03,GOLD,17.38,17.69,17.31,17.44,0.34522439585732034
1999-12-06,GOLD,17.25,17.41,17.19,17.31,0.34782608695651435
1999-12-07,GOLD,17.56,18.38,17.5,18.25,3.9293849658314426
1999-12-08,GOLD,18.0,18.44,17.88,18.06,0.3333333333333262
1999-12-09,GOLD,17.94,17.94,17.56,17.56,-2.1181716833890887
1999-12-10,GOLD,17.81,17.94,17.44,17.56,-1.4037057832678272
1999-12-13,GOLD,17.56,17.81,17.31,17.75,1.0820045558086635
1999-12-14,GOLD,17.69,17.69,17.19,17.25,-2.487280949689097
1999-12-15,GOLD,17.31,17.81,17.25,17.75,2.5418833044483033
1999-12-16,GOLD,17.5,18.13,17.31,17.81,1.771428571428564
1999-12-17,GOLD,18.19,18.56,17.94,18.25,0.3298515667949352
1999-12-20,GOLD,18.25,18.31,17.81,17.81,-2.410958904109596
1999-12-21,GOLD,17.75,18.31,17.5,18.25,2.816901408450704
1999-12-22,GOLD,18.0,18.06,17.75,18.0,0.0
1999-12-23,GOLD,17.88,18.25,17.69,18.0,0.671140939597321
1999-12-27,GOLD,18.25,18.75,18.06,18.13,-0.6575342465753479
1999-12-28,GOLD,18.5,18.69,18.06,18.45,-0.2702702702702741
1999-12-29,GOLD,18.31,18.56,18.13,18.19,-0.655379574003263
1999-12-30,GOLD,18.25,18.25,17.75,17.75,-2.73972602739726
1999-12-31,GOLD,17.94,17.94,17.69,17.69,-1.3935340022296543
2000-01-03,GOLD,17.56,17.75,17.5,17.69,0.7403189066059371
2000-01-04,GOLD,17.31,17.69,17.13,17.44,0.751010976314284
2000-01-05,GOLD,17.56,17.88,17.44,17.88,1.8223234624145803
2000-01-06,GOLD,17.75,17.81,17.5,17.75,0.0
2000-01-07,GOLD,17.81,17.88,17.25,17.31,-2.8074115665356545
2000-01-10,GOLD,17.44,17.44,17.25,17.31,-0.7454128440367118
2000-01-11,GOLD,17.44,17.81,17.25,17.63,1.0894495412843905
2000-01-12,GOLD,17.38,17.56,17.25,17.31,-0.4027617951668601
2000-01-13,GOLD,17.31,17.63,17.19,17.19,-0.6932409012131568
2000-01-14,GOLD,17.13,17.19,16.94,16.94,-1.1091652072387492
2000-01-18,GOLD,17.25,17.69,17.13,17.56,1.797101449275355
2000-01-19,GOLD,17.44,17.5,17.25,17.31,-0.7454128440367118
2000-01-20,GOLD,17.19,17.19,17.0,17.06,-0.7562536358348025
2000-01-21,GOLD,17.06,17.25,17.0,17.13,0.41031652989449174
2000-01-24,GOLD,16.94,17.0,16.44,16.56,-2.24321133412044
2000-01-25,GOLD,16.81,16.81,16.38,16.5,-1.844140392623431
2000-01-26,GOLD,16.5,16.63,16.19,16.25,-1.5151515151515151
2000-01-27,GOLD,16.31,17.0,16.19,16.94,3.8626609442060245
2000-01-28,GOLD,16.88,17.06,16.25,16.31,-3.376777251184836
2000-01-31,GOLD,16.38,16.56,16.25,16.38,0.0
2000-02-01,GOLD,16.25,16.31,15.94,16.19,-0.36923076923076137
2000-02-02,GOLD,16.56,16.81,16.38,16.38,-1.0869565217391288
2000-02-03,GOLD,16.38,16.69,16.13,16.56,1.0989010989010972
2000-02-04,GOLD,17.25,18.5,17.0,18.38,6.550724637681154
2000-02-07,GOLD,19.0,19.75,17.69,17.88,-5.894736842105268
2000-02-08,GOLD,17.75,17.81,17.06,17.25,-2.816901408450704
2000-02-09,GOLD,17.88,18.63,17.88,18.44,3.131991051454152
2000-02-10,GOLD,18.56,18.75,18.0,18.44,-0.6465517241379173
2000-02-11,GOLD,18.25,18.31,17.69,18.31,0.3287671232876642
2000-02-14,GOLD,18.19,18.19,17.44,17.5,-3.793293018141843
2000-02-15,GOLD,17.44,17.88,17.19,17.88,2.5229357798165006
2000-02-16,GOLD,18.06,18.38,17.81,17.94,-0.6644518272425108
2000-02-17,GOLD,18.31,18.38,17.31,17.31,-5.461496450027308
2000-02-18,GOLD,17.5,17.94,17.44,17.94,2.514285714285722
2000-02-22,GOLD,17.69,18.44,17.5,18.19,2.8264556246466928
2000-02-23,GOLD,17.75,17.94,17.13,17.19,-3.1549295774647814
2000-02-24,GOLD,17.25,17.31,16.56,16.69,-3.2463768115941956
2000-02-25,GOLD,16.44,16.75,16.25,16.69,1.5206812652068125
2000-02-28,GOLD,16.75,16.88,16.44,16.44,-1.8507462686567089
2000-02-29,GOLD,16.63,16.88,16.31,16.31,-1.9242333132892382
2000-03-01,GOLD,16.63,16.63,16.38,16.63,0.0
2000-03-02,GOLD,16.38,16.5,16.06,16.38,0.0
2000-03-03,GOLD,16.44,16.44,16.25,16.25,-1.1557177615571852
2000-03-06,GOLD,16.25,16.31,15.88,16.13,-0.7384615384615446
2000-03-07,GOLD,16.25,17.19,16.13,17.06,4.984615384615377
2000-03-08,GOLD,16.88,17.31,16.5,16.56,-1.8957345971564
2000-03-09,GOLD,16.81,17.0,16.5,16.69,-0.7138607971445416
2000-03-10,GOLD,16.56,16.56,16.13,16.19,-2.234299516908197
2000-03-13,GOLD,16.69,16.88,16.38,16.69,0.0
2000-03-14,GOLD,16.44,16.69,16.25,16.63,1.1557177615571637
2000-03-15,GOLD,16.63,16.75,16.31,16.69,0.3607937462417455
2000-03-16,GOLD,16.56,16.69,16.25,16.63,0.4227053140096636
2000-03-17,GOLD,16.5,16.69,16.19,16.31,-1.1515151515151594
2000-03-20,GOLD,16.38,16.75,16.38,16.44,0.3663003663003802
2000-03-21,GOLD,16.44,17.25,16.38,17.25,4.927007299270064
2000-03-22,GOLD,17.0,17.06,16.44,16.44,-3.294117647058816
2000-03-23,GOLD,16.38,16.63,16.31,16.63,1.5262515262515264
2000-03-24,GOLD,16.63,16.94,16.5,16.75,0.7215874924834697
2000-03-27,GOLD,16.56,16.75,16.25,16.38,-1.0869565217391288
2000-03-28,GOLD,16.5,16.56,16.06,16.13,-2.2424242424242484
2000-03-29,GOLD,16.19,16.38,15.56,15.94,-1.5441630636195292
2000-03-30,GOLD,15.94,16.19,15.88,15.88,-0.37641154328731946
2000-03-31,GOLD,15.88,16.19,15.63,15.69,-1.1964735516372875
2000-04-03,GOLD,15.69,16.0,15.5,16.0,1.9757807520713864
2000-04-04,GOLD,15.94,16.94,15.56,16.94,6.273525721455469
2000-04-05,GOLD,16.81,17.25,16.81,17.19,2.2605591909577787
2000-04-06,GOLD,17.0,17.0,16.56,16.63,-2.1764705882353
2000-04-07,GOLD,16.56,16.75,16.31,16.38,-1.0869565217391288
2000-04-10,GOLD,16.63,16.75,16.19,16.5,-0.7817197835237463
2000-04-11,GOLD,16.63,16.81,16.44,16.5,-0.7817197835237463
2000-04-12,GOLD,16.31,16.88,16.25,16.25,-0.3678724708767549
2000-04-13,GOLD,16.25,16.38,15.88,16.13,-0.7384615384615446
2000-04-14,GOLD,16.63,17.38,16.44,17.25,3.7282020444979014
2000-04-17,GOLD,16.94,17.13,16.63,16.88,-0.35419126328218575
2000-04-18,GOLD,16.81,16.88,16.5,16.75,-0.3569303985722708
2000-04-19,GOLD,16.69,17.19,16.63,17.13,2.6363091671659538
2000-04-20,GOLD,17.06,17.81,17.0,17.06,0.0
2000-04-24,GOLD,17.38,17.56,17.13,17.13,-1.4384349827387803
2000-04-25,GOLD,17.06,17.19,16.63,16.69,-2.168815943728004
2000-04-26,GOLD,16.44,16.88,16.31,16.44,0.0
2000-04-27,GOLD,16.81,17.13,16.75,17.0,1.1302795954788893
2000-04-28,GOLD,16.63,16.94,16.56,16.81,1.0823812387251939
2000-05-01,GOLD,16.63,17.06,16.63,17.0,2.2248947684906857
2000-05-02,GOLD,17.19,18.63,17.13,18.63,8.376963350785326
2000-05-03,GOLD,18.25,18.69,17.81,18.56,1.6986301369862944
2000-05-04,GOLD,18.69,19.13,18.25,18.5,-1.0165864098448436
2000-05-05,GOLD,18.63,18.69,17.81,17.94,-3.7037037037036917
2000-05-08,GOLD,17.88,18.0,17.63,18.0,0.671140939597321
2000-05-09,GOLD,17.94,18.63,17.81,18.38,2.452619843924179
2000-05-10,GOLD,18.69,18.88,18.31,18.56,-0.6955591225254283
2000-05-11,GOLD,18.31,18.5,17.94,18.25,-0.3276897870016315
2000-05-12,GOLD,18.31,18.63,18.13,18.19,-0.655379574003263
2000-05-15,GOLD,18.13,18.75,18.13,18.5,2.040816326530618
2000-05-16,GOLD,18.44,18.94,18.25,18.44,0.0
2000-05-17,GOLD,18.31,18.31,17.56,17.63,-3.7138175860185676
2000-05-18,GOLD,17.56,17.94,17.4,17.5,-0.3416856492027262
2000-05-19,GOLD,17.63,18.0,17.5,17.5,-0.7373794668179184
2000-05-22,GOLD,17.63,18.38,17.5,17.69,0.3403289846852086
2000-05-23,GOLD,17.56,18.25,17.38,18.0,2.505694760820053
2000-05-24,GOLD,17.94,18.81,17.94,18.44,2.7870680044593086
2000-05-25,GOLD,18.31,18.69,18.06,18.06,-1.365374112506827
2000-05-26,GOLD,17.94,18.75,17.94,18.19,1.3935340022296543
2000-05-30,GOLD,18.5,18.75,18.31,18.5,0.0
2000-05-31,GOLD,18.5,18.63,18.0,18.13,-2.0000000000000053
2000-06-01,GOLD,18.19,18.31,18.06,18.19,0.0
2000-06-02,GOLD,18.5,19.0,18.5,18.69,1.0270270270270339
2000-06-05,GOLD,18.94,19.5,18.63,19.44,2.6399155227032733
2000-06-06,GOLD,19.69,19.94,19.38,19.63,-0.30472320975115424
2000-06-07,GOLD,19.0,19.25,18.81,19.0,0.0
2000-06-08,GOLD,18.88,19.25,18.75,19.0,0.6355932203389884
2000-06-09,GOLD,19.19,19.31,18.81,18.88,-1.615424700364785
2000-06-12,GOLD,18.81,19.5,18.81,19.31,2.658160552897395
2000-06-13,GOLD,19.88,20.0,19.13,19.13,-3.772635814889336
2000-06-14,GOLD,19.19,19.63,19.06,19.38,0.9900990099009782
2000-06-15,GOLD,19.0,19.13,18.69,18.88,-0.6315789473684262
2000-06-16,GOLD,18.94,19.19,18.81,18.81,-0.6863780359028646
2000-06-19,GOLD,18.69,18.69,18.25,18.25,-2.3542001070091025
2000-06-20,GOLD,18.44,18.5,17.81,18.0,-2.386117136659443
