date,symbol,open,high,low,close,daily change (%)
2011-04-21,OIL,49.94,50.35,49.9,50.35,0.8209851822186698
2011-04-25,OIL,50.57,50.57,49.91,50.05,-1.0282776349614458
2011-04-26,OIL,50.18,50.43,50.1,50.3,0.2391390992427211
2011-04-27,OIL,50.35,50.85,49.8,50.81,0.9136047666335667
2011-04-28,OIL,50.78,51.16,50.17,50.7,-0.15754233950373828
2011-04-29,OIL,50.78,51.13,50.57,51.04,0.5120126033871564
2011-05-02,OIL,51.04,51.04,50.95,50.95,-0.17633228840124668
2011-05-03,OIL,50.36,50.55,49.66,49.82,-1.0722795869737871
2011-05-04,OIL,49.14,49.22,48.83,48.89,-0.5087505087505088
2011-05-05,OIL,47.52,47.52,44.24,44.421,-6.521464646464654
2011-05-06,OIL,45.67,45.74,43.77,44.0688,-3.506021458287713
2011-05-09,OIL,48.52,48.52,44.71,46.22,-4.740313272877173
2011-05-10,OIL,46.12,46.78,46.12,46.7,1.2575888985255972
2011-05-11,OIL,45.39,45.39,44.62,44.8,-1.2998457810090402
2011-05-12,OIL,43.37,45.15,43.36,44.51,2.6285450772423347
2011-05-13,OIL,44.53,44.85,44.12,44.15,-0.8533572872221031
2011-05-16,OIL,44.15,44.15,44.15,44.15,0.0
2011-05-17,OIL,43.52,43.69,42.93,43.69,0.39062499999998757
2011-05-18,OIL,44.47,45.25,44.47,45.04,1.281762986282888
2011-05-19,OIL,44.97,44.97,44.97,44.97,0.0
2011-05-20,OIL,43.64,44.87,43.64,44.85,2.772685609532541
2011-05-23,OIL,43.49,43.72,43.27,43.68,0.4368820418486956
2011-05-24,OIL,44.63,44.6823,44.05,44.6823,0.11718574949584439
2011-05-25,OIL,44.6823,44.6823,44.6823,44.6823,0.0
2011-05-26,OIL,44.85,45.16,44.85,45.06,0.4682274247491658
2011-05-27,OIL,45.1192,45.1192,45.1192,45.1192,0.0
2011-05-31,OIL,46.11,46.11,46.11,46.11,0.0
2011-06-01,OIL,46.11,46.11,46.0682,46.0682,-0.09065278681414457
2011-06-02,OIL,46.0682,46.0682,46.0682,46.0682,0.0
2011-06-03,OIL,44.37,44.87,44.35,44.87,1.126887536623845
2011-06-06,OIL,44.58,44.58,44.49,44.49,-0.20188425302825552
2011-06-07,OIL,44.16,44.39,44.16,44.295,0.30570652173914203
2011-06-08,OIL,45.4,45.4,45.4,45.4,0.0
2011-06-09,OIL,45.81,45.81,45.61,45.61,-0.4365858982754919
2011-06-10,OIL,45.61,45.61,45.61,45.61,0.0
2011-06-13,OIL,43.54,43.67,43.52,43.66,0.27560863573724725
2011-06-14,OIL,44.01,44.45,44.01,44.45,0.9997727789138943
2011-06-15,OIL,42.98,42.98,42.98,42.98,0.0
2011-06-16,OIL,42.55,42.65,42.42,42.52,-0.07050528789657823
2011-06-17,OIL,41.45,41.45,41.24,41.24,-0.5066344993968657
2011-06-20,OIL,41.24,41.24,41.24,41.24,0.0
2011-06-21,OIL,41.95,41.95,41.9204,41.9204,-0.07056019070322304
2011-06-22,OIL,42.3201,42.56,42.3,42.55,0.5432406823235311
2011-06-23,OIL,42.55,42.55,42.55,42.55,0.0
2011-06-24,OIL,42.55,42.55,42.55,42.55,0.0
2011-06-27,OIL,40.7399,40.7399,40.4,40.4,-0.834317217273484
2011-06-28,OIL,41.576,41.576,41.576,41.576,0.0
2011-06-29,OIL,41.576,41.576,41.576,41.576,0.0
2011-06-30,OIL,42.43,42.43,42.43,42.43,0.0
2011-07-01,OIL,42.594,42.65,42.594,42.63,0.08451894633047229
2011-07-05,OIL,43.49,43.49,43.49,43.49,0.0
2011-07-06,OIL,43.26,43.26,43.26,43.26,0.0
2011-07-07,OIL,43.89,44.21,43.83,43.88,-0.022784233310544567
2011-07-08,OIL,43.88,43.88,43.88,43.88,0.0
2011-07-11,OIL,43.88,43.88,43.88,43.88,0.0
2011-07-12,OIL,43.88,43.88,43.88,43.88,0.0
2011-07-13,OIL,43.88,43.88,43.88,43.88,0.0
2011-07-14,OIL,43.4048,43.51,42.63,42.63,-1.7850560306694168
2011-07-15,OIL,43.2096,43.2096,43.2,43.2,-0.022217285047764716
2011-07-18,OIL,43.2,43.2,43.2,43.2,0.0
2011-07-19,OIL,43.45,43.78,43.45,43.46,0.023014959723815905
2011-07-20,OIL,43.74,43.7401,43.3,43.3,-1.00594421582077
2011-07-21,OIL,43.3,43.3,43.3,43.3,0.0
2011-07-22,OIL,43.3,43.3,43.3,43.3,0.0
2011-07-25,OIL,43.7,43.9,43.7,43.9,0.4576659038901504
2011-07-26,OIL,43.92,44.4,43.92,44.3699,1.0243624772313287
2011-07-27,OIL,43.71,43.71,43.71,43.71,0.0
2011-07-28,OIL,43.71,43.71,43.71,43.71,0.0
2011-07-29,OIL,43.71,43.71,43.71,43.71,0.0
2011-08-01,OIL,43.62,43.62,42.92,42.92,-1.604768454837221
2011-08-02,OIL,41.51,41.51,41.48,41.48,-0.0722717417489789
2011-08-03,OIL,41.08,41.17,40.67,40.78,-0.7302823758519892
2011-08-04,OIL,39.44,39.6,39.2,39.2,-0.6085192697768633
2011-08-05,OIL,38.86,38.86,38.86,38.86,0.0
2011-08-08,OIL,37.03,37.03,37.03,37.03,0.0
2011-08-09,OIL,35.86,35.86,35.86,35.86,0.0
2011-08-10,OIL,35.58,36.55,35.58,36.54,2.698145025295112
2011-08-11,OIL,37.27,37.81,37.27,37.81,1.448886503890526
2011-08-12,OIL,38.0,38.0,38.0,38.0,0.0
2011-08-15,OIL,38.4,38.85,38.39,38.81,1.067708333333343
2011-08-16,OIL,38.32,38.63,38.21,38.38,0.15657620041754247
2011-08-17,OIL,39.05,39.05,39.05,39.05,0.0
2011-08-18,OIL,37.04,37.04,36.69,36.69,-0.94492440604752
2011-08-19,OIL,36.51,36.74,36.4,36.4,-0.30128731854286345
2011-08-22,OIL,36.77,36.788,36.18,36.788,0.04895295077507091
2011-08-23,OIL,37.31,37.95,37.27,37.53,0.5896542481908305
